name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,State,availability_365,Rating,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Southbank · 1 bedroom · 1 bed · 1 shared bath,Patricia,Melbourne,-37.82453,144.9637,Shared room,20,4,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Southbank · 1 bedroom · 3 beds · 1 shared bath,Peter,City of Port Phillip,-37.83149,144.96814,Shared room,20,30,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Kensington · ★4.20 · 1 bedroom · 1 bed · 1 shared bath,Benjamin,Melbourne,-37.79193,144.91942,Private room,20,5,5,18/09/2019,0.1,1,Victoria,0,4.2,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Malvern East · 1 bedroom · 1 shared bath,Aivee,City of Stonnington,-37.87843,145.0895,Private room,20,5,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Waterloo · ★4.40 · 1 bedroom · 3 beds · 1 shared bath,Steve,Sydney,-33.8971,151.20545,Shared room,20,90,31,23/02/2020,0.29,1,New South Wales,89,4.4,,,,,,,,,,,,,,,,,,,,,,
Home in Banksia · 1 bedroom · 1 bed · 1 bath,Penny,"Rockdale, New South Wales",-33.94462,151.13913,Private room,20,100,1,28/10/2015,0.01,7,New South Wales,89,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Hornsby · 1 bedroom · 1 bed · 1 bath,Hamid,Hornsby Shire,-33.70656,151.1058,Private room,20,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Maroubra · 1 bedroom · 1 bed · 1 shared bath,Zhuo,"Randwick, New South Wales",-33.93988,151.24171,Private room,20,90,2,1/02/2018,0.02,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Saint Peters · 1 bedroom · 1 bed · 1 shared bath,Maddy,Marrickville Council,-33.9207,151.1705,Shared room,20,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Coogee · 1 bedroom · 1 bed · 1 shared bath,Ana C,Randwick,-33.91932,151.25311,Shared room,20,90,1,29/09/2018,0.02,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Wahroonga · 1 bedroom · 1 bed · 1 private bath,Sam,Ku-ring-gai Council,-33.71289,151.13111,Private room,20,90,1,4/04/2019,0.02,2,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Burwood · 1 bedroom · 6 beds · 1 shared bath,Charles,Municipality of Burwood,-33.87978,151.0991,Shared room,20,28,1,24/01/2020,0.02,63,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Mascot · ★4.75 · 1 bedroom · 2 beds · 1 shared bath,Khishig,"Botany Bay, Derbyshire",-33.92316,151.19131,Shared room,20,90,4,31/01/2020,0.09,1,New South Wales,0,4.75,,,,,,,,,,,,,,,,,,,,,,
Townhouse in Darlinghurst · 1 bedroom · 1 shared bath,Honour,Sydney,-33.88331,151.2163,Shared room,20,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Bardwell Park · 2 bedrooms · 2 beds · 1.5 shared baths,Even,"Rockdale, New South Wales",-33.95124,151.10735,Private room,20,333,0,,,3,New South Wales,365,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Melbourne · 1 bedroom · 1 bed · 1 shared bath,Worapak,Melbourne,-37.81707,144.96331,Shared room,21,1,1,10/08/2016,0.01,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Burwood East · 1 bedroom · 1 bed · 2 shared baths,Mahek,City of Whitehorse,-37.85738,145.14805,Shared room,21,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Saint Kilda · 1 bedroom · 1 bed · 1 shared bath,Anita,City of Port Phillip,-37.86308,144.99074,Private room,21,1,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Collingwood · 1 bedroom · 1 bed · 1 shared bath,Eunji,City of Yarra,-37.8064,144.98256,Shared room,21,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Southbank · 2 bedrooms · 3 beds · 2 shared baths,Carlos G.,Melbourne,-37.82332,144.9618,Shared room,21,1,1,27/04/2020,0.02,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Melbourne · 1 bedroom · 1 bed · 1 shared bath,Rafael,Melbourne,-37.81612,144.9527,Shared room,21,28,0,,,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Haymarket · 1 bedroom · 1 bed · 1 shared bath,Anshul,Sydney,-33.87994,151.20302,Shared room,21,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Homebush · ★3.67 · 1 bedroom · 1 bed · 1 shared bath,Praz,Municipality of Strathfield,-33.86585,151.09013,Private room,21,90,3,7/06/2018,0.04,2,New South Wales,0,3.67,,,,,,,,,,,,,,,,,,,,,,
Home in Carlton North · 1 bedroom · 1 bed · 1 bath,Caroline,City of Yarra,-37.78067,144.97007,Private room,22,12,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Saint Kilda East · 1 bedroom · 1 bed · 1.5 shared baths,Millie,City of Glen Eira,-37.87609,144.99836,Shared room,22,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Melbourne · 1 bedroom · 1 bed · 1 shared bath,Lakhil,City of Whitehorse,-37.84622,145.10745,Shared room,22,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Melbourne · 1 bedroom · 1 bed · 1 shared bath,Jhonathan,Melbourne,-37.8104,144.97036,Shared room,22,25,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Taylors Hill · 1 bedroom · 1 bed · Shared half-bath,Martha,City of Melton,-37.72201,144.76296,Private room,22,7,1,13/03/2020,0.02,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Preston · 1 bedroom · 2 beds · 1 shared bath,Gaurav,City of Darebin,-37.75286,145.00185,Shared room,22,2,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Townhouse in Werribee · 1 bedroom · 1 shared bath,Stefanie,City of Wyndham,-37.90826,144.6309,Private room,22,7,0,,,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Footscray · 1 bedroom · 1 shared bath,Stefanie,"Maribyrnong, Victoria",-37.79874,144.89681,Private room,22,30,0,,,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Bondi Beach · 1 bedroom · 1 bed · 1 shared bath,Fernando,"Waverley, New South Wales",-33.88856,151.26458,Shared room,22,90,0,,,2,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Merrylands West · 1 bedroom · 1 bed · 1 bath,Maria,City of Holroyd,-33.83961,150.98121,Private room,22,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Camperdown · 1 bedroom · 1 bed · 1 shared bath,Brayan,Sydney,-33.88819,151.17914,Shared room,22,90,1,3/02/2019,0.02,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Sydney · 1 bedroom · 1 bed · 1 shared bath,Jana,Sydney,-33.87067,151.20336,Shared room,22,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Marrickville · 1 bedroom · 1 bed · 1 shared bath,Karenn,"Marrickville, New South Wales",-33.91171,151.14474,Shared room,22,90,1,4/08/2018,0.02,2,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Dulwich Hill · 1 bedroom · 1 shared bath,Anna Beatriz,Marrickville,-33.90626,151.1383,Private room,22,90,2,23/06/2019,0.04,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Gladesville · 1 bedroom · 1 shared bath,Ericka,"Ryde, New South Wales",-33.83674,151.12518,Shared room,22,90,0,,,1,New South Wales,87,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Marrickville · 1 bedroom · 1 bed · 1 shared bath,Hung,"Marrickville, New South Wales",-33.91374,151.15427,Private room,22,90,2,26/10/2020,0.04,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Earlwood · 1 bedroom · 1 bed · 1 shared bath,Tim,"Canterbury, New South Wales",-33.92753,151.12521,Private room,22,111,0,,,9,New South Wales,365,0,,,,,,,,,,,,,,,,,,,,,,
Home in Hadfield · ★4.0 · 1 bedroom · 1 bed · 1 bath,Tina,City of Merri-bek,-37.70143,144.94015,Private room,23,90,4,20/02/2020,0.04,12,Victoria,263,4,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Malvern East · 3 bedrooms · 1 bed · 1 shared bath,Gemma,City of Stonnington,-37.87807,145.0492,Private room,23,10,1,6/01/2018,0.01,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Bentleigh East · 1 bedroom · 1 bed · 2 shared baths,Bruno,City of Glen Eira,-37.90757,145.06828,Private room,23,14,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Hostel in Bunbury · 1 bedroom · 1 bed · 1 shared bath,Wander,"Bunbury, Western Australia",-33.32194,115.63534,Shared room,23,1,1,2/03/2020,0.02,8,Western Australia,0,0,,,,,,,,,,,,,,,,,,,,,,
Hostel in Bunbury · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,Wander,BUNBURY,-33.32172,115.63572,Shared room,23,1,4,9/02/2020,0.04,8,Western Australia,0,4.5,,,,,,,,,,,,,,,,,,,,,,
Hostel in Bunbury · ★4.14 · 1 bedroom · 1 bed · 1 shared bath,Dolphin Retreat,BUNBURY,-33.32445,115.63307,Private room,23,1,7,26/09/2021,0.08,4,Western Australia,0,4.14,,,,,,,,,,,,,,,,,,,,,,
Hostel in Bunbury · 1 bedroom · 2 beds · 1 shared bath,Dolphin Retreat,BUNBURY,-33.32339,115.63388,Private room,23,1,2,10/01/2021,0.05,4,Western Australia,0,0,,,,,,,,,,,,,,,,,,,,,,
Hostel in Bunbury · 1 bedroom · 1 bed · 1 shared bath,Dolphin Retreat,BUNBURY,-33.32494,115.6337,Shared room,23,1,2,28/03/2019,0.02,4,Western Australia,0,0,,,,,,,,,,,,,,,,,,,,,,
Hostel in Bunbury · 1 bedroom · 3 beds · 2 shared baths,Dolphin Retreat,City of Bunbury,-33.32317,115.63324,Private room,23,1,1,13/10/2019,0.02,4,Western Australia,0,0,,,,,,,,,,,,,,,,,,,,,,
Hostel in Bunbury · ★4.20 · 1 bedroom · 6 beds · 2 shared baths,Wander,"Bunbury, Western Australia",-33.32201,115.63575,Private room,23,1,5,24/10/2021,0.17,8,Western Australia,0,4.2,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Sydney · 1 bedroom · 1 bed · 1 shared bath,Natalia,Sydney,-33.87811,151.2047,Shared room,23,90,1,30/07/2016,0.01,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Darlinghurst · 1 bedroom · 1 bed · 2 shared baths,Rodrigo,Sydney,-33.88246,151.21873,Shared room,23,90,1,18/06/2018,0.02,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Turrella · 1 bedroom · 1 bed · 1 shared bath,Sarah,City of Rockdale,-33.93206,151.1437,Private room,23,90,0,,,1,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Randwick · 1 bedroom · 2 beds · 1.5 shared baths,Carlos,"Randwick, New South Wales",-33.91438,151.23697,Shared room,23,90,1,13/11/2019,0.02,8,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
